NACA 0002 AIRFOIL
  1.000000  0.0002
  0.999013  0.000233
  0.996057  0.000302
  0.991144  0.000416
  0.984292  0.000574
  0.975528  0.000774
  0.964888  0.001014
  0.952414  0.001291
  0.938153  0.001603
  0.922164  0.001947
  0.904508  0.002319
  0.885257  0.002716
  0.864484  0.003135
  0.842274  0.003572
  0.818712  0.004023
  0.793893  0.004484
  0.767913  0.004953
  0.740877  0.005425
  0.712890  0.005896
  0.684062  0.006362
  0.654508  0.006820
  0.624345  0.007264
  0.593691  0.007691
  0.562667  0.008097
  0.531395  0.008476
  0.500000  0.008823
  0.468605  0.009135
  0.437333  0.009406
  0.406309  0.009632
  0.375655  0.009807
  0.345492  0.009929
  0.315938  0.009993
  0.287110  0.009997
  0.259123  0.009937
  0.232087  0.009811
  0.206107  0.009619
  0.181288  0.009360
  0.157726  0.009035
  0.135516  0.008644
  0.114743  0.008190
  0.095492  0.007675
  0.077836  0.007103
  0.061847  0.006476
  0.047586  0.005800
  0.035112  0.005079
  0.024472  0.004316
  0.015708  0.003515
  0.008856  0.002680
  0.003943  0.001814
  0.000987  0.000920
  0.000000  0.000000
  0.000987 -0.000920
  0.003943 -0.001814
  0.008856 -0.002680
  0.015708 -0.003515
  0.024472 -0.004316
  0.035112 -0.005079
  0.047586 -0.005800
  0.061847 -0.006476
  0.077836 -0.007103
  0.095492 -0.007675
  0.114743 -0.008190
  0.135516 -0.008644
  0.157726 -0.009035
  0.181288 -0.009360
  0.206107 -0.009619
  0.232087 -0.009811
  0.259123 -0.009937
  0.287110 -0.009997
  0.315938 -0.009993
  0.345492 -0.009929
  0.375655 -0.009807
  0.406309 -0.009632
  0.437333 -0.009406
  0.468605 -0.009135
  0.500000 -0.008823
  0.531395 -0.008476
  0.562667 -0.008097
  0.593691 -0.007691
  0.624345 -0.007264
  0.654508 -0.006820
  0.684062 -0.006362
  0.712890 -0.005896
  0.740877 -0.005425
  0.767913 -0.004953
  0.793893 -0.004484
  0.818712 -0.004023
  0.842274 -0.003572
  0.864484 -0.003135
  0.885257 -0.002716
  0.904508 -0.002319
  0.922164 -0.001947
  0.938153 -0.001603
  0.952414 -0.001291
  0.964888 -0.001014
  0.975528 -0.000774
  0.984292 -0.000574
  0.991144 -0.000416
  0.996057 -0.000302
  0.999013 -0.000233
  1.000000 -0.0002
