rodada,t0,t1,R2_p,R2_q,R2_r,R2_ax,R2_ay,R2_az,Jx,Jy,cp,cq,cr,kT_medio,kQ_medio
aero_avlM_2026,610,630,0.708467136990694,0.72211495809096,0.80309599997151,0.350571938599042,0.360312854782135,0.468075441276653,0.0473873248220694,0.0958191834082004,4.85292634931736,3.41745162069301,0.778193528931365,1.06101442837935,0.69508205154862
aero_avl_2026,610,630,0.708090322260439,0.721804158070208,0.803220184497981,-124.811332848852,-143.681941813877,0.562036929394764,0.046843670924383,0.0947378915319011,4.84582572365179,3.41270252226115,0.77822842660828,1.04887277840086,0.695061091830563
aero_free_2026,610,630,0.795613928667757,0.51869352056116,0.750700084387982,-2.30215627241583,-3.20241404205592,0.485431444937884,0.0469267700161268,0.0948645353173889,6.24839662646414,3.96198469291206,0.741701663800734,1.0598425249535,0.686258008486751
aero_off_2026,610,630,0.701819902070805,0.728102877091317,0.737878568895192,0.386113973839436,0.370023363429669,0.478139372315186,0.0475060851274063,0.0940191199563501,5.49985205012507,3.86065443866659,0.776933154334008,1.06057288306411,0.686697010847014
damp_aero_2026,610,630,0.629720932190624,0.417186194101295,0.695046952639389,-1.17775926590014,-3.39008671109162,0.41311882379732,0.0540599999999778,0.105509999999978,0,0,0,1.06050409524419,0.665165907179286
damp_fisico_2026,610,630,0.221241074863704,0.613241449256068,0.3526193142833,0.312568450797664,0.33529238203273,0.507979818524594,0.0540599999999778,0.105509999999978,2.124,2.105,0.327,1.05863849766874,0.632145324848251
fev2024_aero,191,211,0.189101062552565,-0.703210601189127,0.616739186694599,-0.465639164866956,-0.0364204243108852,-0.131530024285335,0.0540599999999778,0.105509999999978,10.5564569919864,7.05574654802074,0.899907458987065,1.22506217109223,0.642018045104183
fev2024_cg,191,211,-0.0664448079625204,-0.518979185805045,0.644455659350595,-0.46703262657284,-0.0360525071455791,-0.118227500462321,0.0540599999999778,0.105509999999978,8.0799737486934,6.61412938033676,0.906042488861734,1.18443862237941,0.534448329150596
fev2024_cg_aero,191,211,0.248465475827057,-0.64311276611524,0.60567110898042,-0.466663866724859,-0.0376157255542138,-0.117518404607156,0.0540599999999778,0.105509999999978,8.96163580081699,6.84801723300246,0.836069782430813,1.1853651338176,0.60759114153624
fev2024_kT,191,211,-0.214185961445716,-0.67148130581379,0.636931607104304,-0.47003105862471,-0.0359305660067406,-0.111215389927699,0.0540599999999778,0.105509999999978,9.22590504951996,6.4424619646232,0.927868353851321,1.2091362860809,0.565020448460224
fev2024_lim,206,211,0.129357895292431,0.215184206081789,0.0522554624336893,-0.448826170159747,-0.118026294362016,-0.290289299847187,0.0540599999999778,0.105509999999978,6.90424814477187,5.73060629089209,0.471611118106195,1.22097266204459,0.569033056318128
fev2024_noaero,191,211,-0.190292898129563,-0.581189797756688,0.652847042144299,-0.467360952351646,-0.0345671451006555,-0.131857267278986,0.0540599999999778,0.105509999999978,9.82259786024741,6.79422418335592,0.983560539636183,1.22470775453152,0.566403930486675
fev2024_rot,191,211,-0.0293229274736337,-0.610874083887826,0.640323295737791,-0.0771977192655786,-0.0360027876005899,-8.18355605643703,0.0406122691366236,0.0825126020649889,6.87236516656915,4.41258114588312,0.973582520861011,0.657533328675589,0.570471694874728
